Fund,Fund Name,Cash,Department Name,Fund Purpose,Sources of Funds,Eligible Uses,Fund Category,Ending Fund Balance,Assets,Liabilities,Grant Receivable Asset,Other Assets,Current Collected Revenue,Cash Disbursement,Outstanding Commitment,Date Fund Established,Fund Group Name,Fund Type Name,Council File Link,Fund Origin Council File #,Department,Fund Origin Ordinance #,Amending Ordinances,Code Section,Fund Origin Resolution,Amending Resolution,Currently on Budget,Replacement of GF Allowed,Any Overhead Costs Remitted to GF,Overhead Costs Reimbursement Eligibility,Interest to GF,Interest Reversion Eligibility,GF Reversion,Inactive Fund - Close,Contact,Phone,Email
100,General Fund (General Budget),$213459432.95,Non-Departmental - General,To account for municipal activities not authorized or contemplated by special funds,All revenues and receipts which are not by law or Charter pledged or encumbered for special purposes,All money paid into the City Treasury shall be kept in separate funds; the General Fund accounts for municipal activities other than those authorized or contemplated by special funds,General Government,$-170031031.75,$221721353.59,$391752385.34,$0.00,$8261920.64,$1244647443.34,$1738053366.16,$171650783.40,,Governmental,General Fund,,,62,,,,,,Yes,Not Applicable,Not Applicable,Not Applicable,Yes,Not Applicable,Not Applicable,No,,,
101,Reserve,$447758885.65,Non-Departmental - General,Retains funding for unanticipated expenditures and revenue shortfalls in the General Fund,The City Council shall annually allocate not less than 2 and three-fourths percent of all General Fund receipts into the Emergency Reserve Account; all Reserve Fund monies over and above that amount shall be allocated to the Contingency Reserve Account,Shall include funding for unanticipated expenditures and revenue shortfalls in the City's General Fund. The Council shall by ordinance establish policies for the use of the Contingency Reserve Account; the Emergency Reserve Account shall require a two-thirds vote of the City Council with the concurrence of the Mayor in concurrence with a finding of urgent economic necessity,General Government,$475462465.75,$477957774.30,$2495308.55,$0.00,$30198888.65,$324408.84,$125127786.38,$0.00,,Governmental,General Fund,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=98-0459,98-0459,62,,,,,,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,No,,,
102,Budget Stabilization Fund,$64235200.38,Non-Departmental - General,Records over budget savings when revenues are strong to protect services during revenue downturns,Transfer from General Fund; annual transfer when revenues exceed budgeted estimates,"Savings accrued in the BSF would be available to supplement the budget for primarily one-time purposes, with the highest priority to be funding deferred expenditures from prior fiscal years. BSF funds can only be expended during fiscal years when actual revenues are less than projected revenue target at the time of budget adoption",General Government,$64235200.38,$64235200.38,$0.00,$0.00,$0.00,$2150174.20,$0.00,$0.00,07/01/2009,Governmental,General Fund,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=09-0600,09-0600,62,,,,,,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,No,,,
105,Innovation Fund,$126519.05,City Administrative Officer,"Funds loans for projects to improve the quality, efficiency & effectiveness of City service; accounts for gifts",General Fund and other contributions,Innovation Commission to approve loans to departments and to pay for administrative expenses of the Commission,General Government,$126519.05,$126519.05,$0.00,$0.00,$0.00,$305.28,$0.00,$0.00,11/03/2014,Governmental,General Fund,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=14-0600-S49,"97-2275, 14-0600-S49",10,183231,,,,,No,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,Jody Yoxsimer,(213) 473-7577,jody.yoxsimer@lacity.org
116,2003 Tx Rev Anticip Note Proc,$0.00,City Administrative Officer,For the purposes of depositing and disbursing from the proceeds of the sale of the Notes. ,Sale of Notes,The proceeds of the Notes will be used to provide effective cash flow management for revenues and expenditures of the City's General Fund for the given fiscal year and to pre-pay the City's annual pension obligations. ,General Government,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,06/20/2003,Governmental,General Fund,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=03-0600-S25,03-0600-S25,10,175299,,,,,No,No,No,No,No,Yes - only after all notes are paid off.,Yes,Yes,Jody Yoxsimer,(213) 473-7577,jody.yoxsimer@lacity.org
117,2004 Tx Rev Anticip Note Proc,$0.00,City Administrative Officer,For the purposes of depositing and disbursing from the proceeds of the sale of the Notes. ,Sale of Notes,The proceeds of the Notes will be used to provide effective cash flow management for revenues and expenditures of the City's General Fund for the given fiscal year and to pre-pay the City's annual pension obligations. ,General Government,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,07/02/2004,Governmental,General Fund,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=04-0600-S9,04-0600-S9,10,176071,,,,,No,No,No,No,No,Yes - only after all notes are paid off.,Yes,Yes,Jody Yoxsimer,(213) 473-7577,jody.yoxsimer@lacity.org
118,2005 Tx Rev Anticip Note Proc,$0.00,City Administrative Officer,For the purposes of depositing and disbursing from the proceeds of the sale of the Notes. ,Sale of Notes,The proceeds of the Notes will be used to provide effective cash flow management for revenues and expenditures of the City's General Fund for the given fiscal year and to pre-pay the City's annual pension obligations. ,General Government,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,06/27/2005,Governmental,General Fund,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=05-0600-S15,05-0600-S15,10,176747,,,,,No,No,No,No,No,Yes - only after all notes are paid off.,Yes,Yes,Jody Yoxsimer,(213) 473-7577,jody.yoxsimer@lacity.org
120,2007 Tx Rev Anticip Note Proc,$0.00,City Administrative Officer,For the purposes of depositing and disbursing from the proceeds of the sale of the Notes. ,Sale of Notes,The proceeds of the Notes will be used to provide effective cash flow management for revenues and expenditures of the City's General Fund for the given fiscal year and to pre-pay the City's annual pension obligations. ,General Government,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,06/21/2007,Governmental,General Fund,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=07-0600-S30,07-0600-S30,10,178871,,,,,No,No,No,No,No,Yes - only after all notes are paid off.,Yes,Yes,Jody Yoxsimer,(213) 473-7577,jody.yoxsimer@lacity.org
121,Tx Rev Anticip Note Proc,$1722.18,City Administrative Officer,For the purposes of depositing and disbursing from the proceeds of the sale of each issue of the TRAN. ,Sale of Notes,The proceeds of the Notes will be used to provide effective cash flow management for revenues and expenditures of the City's General Fund for the given fiscal year and to pre-pay the City's annual pension obligations. ,General Government,$350001722.18,$350001722.18,$0.00,$0.00,$350000000.00,$1386485032.18,$1036483310.00,$0.00,07/08/2008,Governmental,General Fund,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=08-0600-S2,08-0600-S2,10,179986,,,,,Yes,No,No,No,No,Yes - only after all notes are paid off.,Yes,No,Jody Yoxsimer,(213) 473-7577,jody.yoxsimer@lacity.org
151,GOB Ser99B Excess Earning Fd,$0.00,Office of Finance,To hold money that the Treasurer finds to be earnings in excess of the yield on the Bonds,From Construction Funds and Debt Service Funds,For payments to the United States or for deposit into the funds pertaining to the Bonds in accordance with the City's Tax Certificate of Bonds.,Debt Service,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,08/20/1999,Governmental,Special Revenue,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=99-0600-S49,99-0600-S49,39,172748,, ,,,No,No,No,No,Yes,Not Applicable,No,Yes,Tiffany Liaw,(213) 978-1742,tiffany.liaw@lacity.org
