Fiscal Year,Function/Program,Department,Program/Metric,Program/Metric Label,Amount,Sub-Metric 1,Sub-Metric2
2013,Business-Type Activities ,Airports,Passengers (millions),Passengers (millions),69,,
2013,Business-Type Activities ,Airports,Aircraft movements (thousands),Aircraft movements (thousands),939,,
2013,Business-Type Activities ,Airports,Air cargo (thousand tons),Air cargo (thousand tons),2400,,
2013,Business-Type Activities ,Harbor,Inbound tonnage (million tons),Inbound tonnage (million tons),93,,
2013,Business-Type Activities ,Harbor,Miles of waterfront,Miles of waterfront,43,,
2013,Business-Type Activities ,Harbor,Cruise passengers,Cruise passengers,355875,,
2013,Business-Type Activities ,Harbor,Vessel arrivals,Vessel arrivals,2089,,
2013,Business-Type Activities ,Harbor,Containerized cargo volume (in million of TEUs),Containerized cargo volume (in million of TEUs),8,,
2013,Business-Type Activities ,Harbor,Outbound tonnage (million tons),Outbound tonnage (million tons),72,,
2013,Business-Type Activities ,Power,Customers-average number (thousands),Customers-average number (thousands),1479,,
2013,Business-Type Activities ,Power,Kilowatt hours sold (billions),Kilowatt hours sold (billions),26,,
2013,Business-Type Activities ,Power,Energy production (billion kwh),Energy production (billion kwh),27,,
2013,Business-Type Activities ,Power,Net system capability (megawatts),Net system capability (megawatts),8,,
2013,Business-Type Activities ,Water ,Net water supply (billions of gallons),Net water supply (billions of gallons),183,,
2013,Business-Type Activities ,Water ,Customers-average number (thousands),Customers-average number (thousands),676,,
2013,Business-Type Activities ,Water ,Gallons sold (billions),Gallons sold (billions),178,,
2013,Community Development,Aging,Senior Social Services Program,Senior Social Services Program/Homebound meals served,768536,Homebound meals served,
2013,Community Development,Aging,Senior Social Services Program,Senior Social Services Program/Meals served vs. Meals contracted (%),93,Meals served vs. Meals contracted (%),
2013,Community Development,Aging,Senior Social Services Program,Senior Social Services Program/Congregate meals served,767377,Congregate meals served,
2013,Community Development,Aging,Senior Social Services Program,Senior Social Services Program/Prop A - One-way transportation trips,129354,Prop A - One-way transportation trips,
2013,Community Development,Disability,Crisis intervention,Crisis intervention,,,
2013,Community Development,Disability,Counseling sessions,Counseling sessions,80,,
2013,Community Development,Disability,Constituents served,Constituents served,800,,
2013,Community Development,Disability,AIDS Coordination,AIDS Coordination/HIV Testing and counseling,10000,HIV Testing and counseling,
2013,Community Development,Disability,ADA Compliance,ADA Compliance/Days to respond for interpreter services,2,Days to respond for interpreter services,
2013,Community Development,Housing,Housing Preservation and Production Programs,Housing Preservation and Production Programs/Units financed by MRB under the Homeownership/Program,,Units financed by MRB under the Homeownership,Program
2013,Community Development,Housing,Rent Program,Rent Program/Tenant complaints processed,5780,Tenant complaints processed,
2013,Community Development,Housing,Rent Program,Rent Program/Rental units registered,0,Rental units registered,
2013,Community Development,Housing,Rent Program,Rent Program/Rent adjustments processed,0,Rent adjustments processed,
2013,Community Development,Housing,Code Enforcement Program,Code Enforcement Program/Urgent repair referrals,0,Urgent repair referrals,
2013,Community Development,Housing,Code Enforcement Program,Code Enforcement Program/Multi-family unit inspected every 4 years,179728,Multi-family unit inspected every 4 years,
2013,Community Development,Housing,Code Enforcement Program,Code Enforcement Program/Periodic inspections (units),0,Periodic inspections (units),
2013,Community Development,Housing,Compliance Monitoring,Compliance Monitoring/Affordable units monitored,21578,Affordable units monitored,
2013,Community Development,Housing,Homeownership and Preservation,Homeownership and Preservation/Number of housing units made lead safe,121,Number of housing units made lead safe,
2013,Community Development,Housing,Housing Preservation and Production Programs,Housing Preservation and Production Programs/Units financed by GAP under the Homeownership/Program - Low Income,,Units financed by GAP under the Homeownership,Program - Low Income
2013,Community Development,Housing,Housing Preservation and Production Programs,Housing Preservation and Production Programs/Residential units preserved under the Housing/Rehabilitation Program,,Residential units preserved under the Housing,Rehabilitation Program
2013,Cultural and Recreational Services,Convention Center,Client Revenue Services,Client Revenue Services/Repeat events hosted (#),284,Repeat events hosted (#),
2013,Cultural and Recreational Services,Convention Center,Scheduled exhibit hall events,Scheduled exhibit hall events,140,,
2013,Cultural and Recreational Services,Cultural Affairs,Community Arts,Community Arts/Special events/festivals,17,Special events/festivals,
2013,Cultural and Recreational Services,Cultural Affairs,Performing Arts,Performing Arts/Music/theatre programs presented,0,Music/theatre programs presented,
2013,Cultural and Recreational Services,Cultural Affairs,City Arts,City Arts/Art class enrollment,14000,Art class enrollment,
2013,Cultural and Recreational Services,Cultural Affairs,City Arts,City Arts/Theater attendance,140000,Theater attendance,
2013,Cultural and Recreational Services,Cultural Affairs,Community Arts,Community Arts/Art exhibitions presented,60,Art exhibitions presented,
2013,Cultural and Recreational Services,El Pueblo,History and Museums,History and Museums/Visitors to educational and cultural programs,476239,Visitors to educational and cultural programs,
2013,Cultural and Recreational Services,El Pueblo,Art exhibitions presented,Art exhibitions presented,8,,
2013,Cultural and Recreational Services,El Pueblo,Special events/festivals held,Special events/festivals held,85,,
2013,Cultural and Recreational Services,El Pueblo,Children's art workshops held,Children's art workshops held,105,,
2013,Cultural and Recreational Services,El Pueblo,Cultural and historical tours given,Cultural and historical tours given,1240,,
2013,Cultural and Recreational Services,El Pueblo,Historic sites maintained,Historic sites maintained,0,,
2013,Cultural and Recreational Services,El Pueblo,History and Museums,History and Museums/Tours provided to the public,859,Tours provided to the public,
2013,Cultural and Recreational Services,Library,Public Library Services Program,Public Library Services Program/Attendance level for cultural programming,531498,Attendance level for cultural programming,
2013,Cultural and Recreational Services,Library,Public Library Services Program,Public Library Services Program/Number of library materials checked out,14983679,Number of library materials checked out,
2013,Cultural and Recreational Services,Library,Public Library Services Program,Public Library Services Program/Number of volunteers for special programs,5617,Number of volunteers for special programs,
2013,Cultural and Recreational Services,Library,Public Library Services Program,Public Library Services Program/Number of library cardholders,1099165,Number of library cardholders,
2013,Cultural and Recreational Services,Library,Public Library Services Program,Public Library Services Program/Number of people visiting library facilities,14096741,Number of people visiting library facilities,
2013,Cultural and Recreational Services,Library,Public Library Services Program,Public Library Services Program/Registered Borrowers,1099165,Registered Borrowers,
2013,Cultural and Recreational Services,Library,Public Library Services Program,Public Library Services Program/Books cataloged,48452,Books cataloged,
2013,Cultural and Recreational Services,Library,Public Library Services Program,Public Library Services Program/Books received:/Volumes,264094,Books received:,Volumes
2013,Cultural and Recreational Services,Library,Public Library Services Program,Public Library Services Program/Items circulated,14983679,Items circulated,
