ID NUMBER,FISCAL YEAR,DEPARTMENT NAME,VENDOR NAME,TRANSACTION DATE,DOLLAR AMOUNT,AUTHORITY,BUSINESS TAX REGISTRATION CERTIFICATE,GOVERNMENT ACTIVITY,FUND GROUP NAME,FUND TYPE,FUND NAME,FUND,ACCOUNT NAME,ACCOUNT CODE,TRANSACTION ID,EXPENDITURE TYPE,SETTLEMENT/JUDGMENT,FISCAL MONTH NUMBER,FISCAL YEAR-MONTH,FISCAL YEAR-QUARTER,CALENDAR MONTH NUMBER,CALENDAR MONTH/YEAR,CALENDAR MONTH,DATA SOURCE,AUTHORITY NAME,AUTHORITY LINK,DEPARTMENT NUMBER,PROGRAM,VENDOR ID,ZIP,PAYMENT METHOD,PAYMENT STATUS,INV NUM,INVOICE DUE DATE,INVOICE DISCOUNT DUE DATE,INV DATE,INV LINE,INVOICE DISTRIBUTION LINE,PO NUM,DESCRIPTION,DETAILED ITEM DESCRIPTION,UNIT PRICE,UNIT OF MEASURE,QUANTITY,SALES TAX PERCENT,SALES TAX,DISCOUNT,RECEIVER ID,PO DATE,PO LINE NUMBER,PROCUREMENT ORGANIZATION,BUYER NAME,SUPPLIER CITY,SUPPLIER COUNTRY,BU NAME,SITE LOCATION,ITEM CODE,ITEM CODE NAME,CURRENCY,VALUE OF SPEND,VENDOR NUM
410646,2015,AGING,PEOPLE COORDINATED SERVICES OF SOUTHERN CALIFORNIA INC,07/28/2014,$62114.00,CO119596,0000172776,COMMUNITY DEVELOPMENT,GOVERNMENTAL,SPECIAL REVENUE,SENIOR CITYRIDE PROGRAM FUND,599,CITYRIDE PROGRAM,02K220,AD26150000005589,CONTRIBUTIONS TO OTHER AGENCIES,,1,2015-01 (JUL),2015-01,7,"JULY,2014",JULY     ,FMS,PEOPLE COORDINATED SERVICES OF SOUTHERN CALIFORNORIA,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-119596,02,SENIOR SERVICES,100000276,90006,CHECK,PAID,GAX0215599020008,,,06/24/2014,1,1,GAE02CO14119596Y,CITYRIDE PROGRAM,,,,,,,,,,1,,,,,,,,,,,100000276 - PEOPLE COORDINATED SERVICES OF SOUTHERN CALIFORNIA INC
1547291,2015,AGING,JEWISH FAMILY SERVICE OF LOS ANGELES,10/20/2014,$55985.00,CO119669,0000438283,COMMUNITY DEVELOPMENT,GOVERNMENTAL,SPECIAL REVENUE,SENIOR CITYRIDE PROGRAM FUND,599,CITYRIDE PROGRAM,02K220,AD26150000023517,CONTRIBUTIONS TO OTHER AGENCIES,,4,2015-04 (OCT),2015-02,10,"OCTOBER,2014",OCTOBER  ,FMS,JEWISH FAMILY SERVICE OF LOS ANGELES,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-119669,02,SENIOR SERVICES,100004055,90010,CHECK,PAID,GAX0215599020031,,,09/11/2014,1,1,GAE02CO14119669Y,CITYRIDE PROGRAM,,,,,,,,,,1,,,,,,,,,,,100004055 - JEWISH FAMILY SERVICE OF LOS ANGELES
1547291,2015,AGING,JEWISH FAMILY SERVICE OF LOS ANGELES,10/20/2014,$55985.00,CO119669,0000438283,COMMUNITY DEVELOPMENT,GOVERNMENTAL,SPECIAL REVENUE,SENIOR CITYRIDE PROGRAM FUND,599,CITYRIDE PROGRAM,02K220,AD26150000023517,CONTRIBUTIONS TO OTHER AGENCIES,,4,2015-04 (OCT),2015-02,10,"OCTOBER,2014",OCTOBER  ,FMS,JEWISH FAMILY SERVICE OF LOS ANGELES,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-119669,02,SENIOR SERVICES,100004055,90010,CHECK,PAID,GAX0215599020031,,,09/11/2014,1,1,GAE02CO14119669Y,CITYRIDE PROGRAM,,,,,,,,,,1,,,,,,,,,,,100004055 - JEWISH FAMILY SERVICE OF LOS ANGELES
1547305,2015,AGING,WATTS LABOR COMMUNITY ACTION COMMITTEE,10/10/2014,$54741.00,CO119600,0000297418,COMMUNITY DEVELOPMENT,GOVERNMENTAL,SPECIAL REVENUE,SENIOR CITYRIDE PROGRAM FUND,599,CITYRIDE PROGRAM,02K220,EFT26150000002492,CONTRIBUTIONS TO OTHER AGENCIES,,4,2015-04 (OCT),2015-02,10,"OCTOBER,2014",OCTOBER  ,FMS,WATTS LABOR  COMMUNITY ACTION COMMITTEE,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-119600,02,SENIOR SERVICES,100002393,90059,EFT,PAID,GAX0215599020021,,,09/11/2014,1,1,GAE02CO14119600Y,CITYRIDE PROGRAM,,,,,,,,,,1,,,,,,,,,,,100002393 - WATTS LABOR COMMUNITY ACTION COMMITTEE
1547305,2015,AGING,WATTS LABOR COMMUNITY ACTION COMMITTEE,10/10/2014,$54741.00,CO119600,0000297418,COMMUNITY DEVELOPMENT,GOVERNMENTAL,SPECIAL REVENUE,SENIOR CITYRIDE PROGRAM FUND,599,CITYRIDE PROGRAM,02K220,EFT26150000002492,CONTRIBUTIONS TO OTHER AGENCIES,,4,2015-04 (OCT),2015-02,10,"OCTOBER,2014",OCTOBER  ,FMS,WATTS LABOR  COMMUNITY ACTION COMMITTEE,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-119600,02,SENIOR SERVICES,100002393,90059,EFT,PAID,GAX0215599020021,,,09/11/2014,1,1,GAE02CO14119600Y,CITYRIDE PROGRAM,,,,,,,,,,1,,,,,,,,,,,100002393 - WATTS LABOR COMMUNITY ACTION COMMITTEE
434210,2015,AGING,SAN FERNANDO VALLEY INTERFAITH COUNCIL INC,09/12/2014,$43476.00,CO119333,0000503722,COMMUNITY DEVELOPMENT,GOVERNMENTAL,SPECIAL REVENUE,SENIOR CITYRIDE PROGRAM FUND,599,CITYRIDE PROGRAM,02K220,AD26150000016699,CONTRIBUTIONS TO OTHER AGENCIES,,3,2015-03 (SEP),2015-01,9,"SEPTEMBER,2014",SEPTEMBER,FMS,SAN FERNANDO VALLEY INTERFAITH COUNCIL INC.,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-119333,02,SENIOR SERVICES,100002756,91302,CHECK,PAID,GAX0215599020011,,,09/11/2014,1,3,GAE02CO14119333Y,CITYRIDE PROGRAM,,,,,,,,,,3,,,,,,,,,,,100002756 - SAN FERNANDO VALLEY INTERFAITH COUNCIL INC
421374,2015,AGING,ONEGENERATION,08/06/2014,$42236.00,CO119601,0000611371,COMMUNITY DEVELOPMENT,GOVERNMENTAL,SPECIAL REVENUE,SENIOR CITYRIDE PROGRAM FUND,599,CITYRIDE PROGRAM,02K220,AD26150000007583,CONTRIBUTIONS TO OTHER AGENCIES,,2,2015-02 (AUG),2015-01,8,"AUGUST,2014",AUGUST   ,FMS,ONEGENERATION,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-119601,02,SENIOR SERVICES,100002398,91406,CHECK,PAID,GAX0215599020009,,,07/21/2014,1,1,GAE02CO14119601Y,CITYRIDE PROGRAM,,,,,,,,,,5,,,,,,,,,,,100002398 - ONEGENERATION
434204,2015,AGING,INTERNATIONAL INSTITUTE OF LOS ANGELES,09/29/2014,$42192.99,CO119666,0000472223,COMMUNITY DEVELOPMENT,GOVERNMENTAL,SPECIAL REVENUE,SENIOR CITYRIDE PROGRAM FUND,599,CITYRIDE PROGRAM,02K220,EFT26150000002110,CONTRIBUTIONS TO OTHER AGENCIES,,3,2015-03 (SEP),2015-01,9,"SEPTEMBER,2014",SEPTEMBER,FMS,INTERNATIONAL INSTITUTE OF LA,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-119666,02,SENIOR SERVICES,100005037,90031,EFT,PAID,GAX0215599020019,,,09/11/2014,1,1,GAE02CO14119666Y,CITYRIDE PROGRAM,,,,,,,,,,7,,,,,,,,,,,100005037 - INTERNATIONAL INSTITUTE OF LOS ANGELES
421286,2015,AGING,INTERNATIONAL INSTITUTE OF LOS ANGELES,08/15/2014,$40296.00,CO119666,0000472223,COMMUNITY DEVELOPMENT,GOVERNMENTAL,SPECIAL REVENUE,AREA PLAN FOR THE AGING TIT 7,395,HOME DELIVERED MEALS FOR SENIORS,02KQ04,EFT26150000001038,CONTRIBUTIONS TO OTHER AGENCIES,,2,2015-02 (AUG),2015-01,8,"AUGUST,2014",AUGUST   ,FMS,INTERNATIONAL INSTITUTE OF LA,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-119666,02,SENIOR SERVICES,100005037,90031,EFT,PAID,GAX0215395020012,,,06/12/2014,1,5,GAE02CO14119666Y,HOME DELIVERED MEALS FOR SENIORS,,,,,,,,,,7,,,,,,,,,,,100005037 - INTERNATIONAL INSTITUTE OF LOS ANGELES
1547133,2015,AGING,ONEGENERATION,10/20/2014,$36087.00,CO119601,0000611371,COMMUNITY DEVELOPMENT,GOVERNMENTAL,SPECIAL REVENUE,AREA PLAN FOR THE AGING TIT 7,395,CONGREGATE MEALS III C1,02KAA2,AD26150000023505,CONTRIBUTIONS TO OTHER AGENCIES,,4,2015-04 (OCT),2015-02,10,"OCTOBER,2014",OCTOBER  ,FMS,ONEGENERATION,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccon.viewrecord&contractnum=C-119601,02,SENIOR SERVICES,100002398,91406,CHECK,PAID,GAX0215395020061,,,09/18/2014,1,2,GAE02CO14119601Y,CONGREGATE MEALS III C1,,,,,,,,,,2,,,,,,,,,,,100002398 - ONEGENERATION
