"Year","Entity Type","Entity Group","Entity Name","Department / Subdivision","Position","Elected Official","Judicial","Other Positions","Min Classification Salary","Max Classification Salary","Reported Base Wage","Regular Pay","Overtime Pay","Lump-Sum Pay","Other Pay","Total Wages","Defined Benefit Plan","Employees Retirement Cost Covered","Deferred Compensation Plan","Health Dental Vision","Total Retirement and Health Cost","Pension Formula","Entity URL","Entity Population","Last Updated"
"2012","City","","Adelanto","Animal Control","Animal Control Officer","","","","31935","35943","","32495","5961","0","0","38456","0","4255","0","10800","15055","2%@60","http://www.ci.adelanto.ca.us/index.asp?SEC=B16FACA1-FC2F-429D-91A4-8C291547BDDE&Type=B_BASIC","31289","12/16/2013"
"2012","City","","Adelanto","Animal Control","Animal Control Supervisor","","","","48670","54779","","52269","10622","0","7295","70186","0","6923","0","3505","10428","2%@60","http://www.ci.adelanto.ca.us/index.asp?SEC=B16FACA1-FC2F-429D-91A4-8C291547BDDE&Type=B_BASIC","31289","12/16/2013"
"2012","City","","Adelanto","City Clerk","Admin Assistant","","","","23020","25909","","9551","0","0","0","9551","0","0","0","0","0","0","http://www.ci.adelanto.ca.us/index.asp?SEC=B16FACA1-FC2F-429D-91A4-8C291547BDDE&Type=B_BASIC","31289","12/16/2013"
"2012","City","","Adelanto","City Clerk","Admin Assistant II","","","","26328","29632","","28093","0","0","650","28743","0","2717","0","2492","5209","2%@60","http://www.ci.adelanto.ca.us/index.asp?SEC=B16FACA1-FC2F-429D-91A4-8C291547BDDE&Type=B_BASIC","31289","12/16/2013"
"2012","City","","Adelanto","City Clerk","Assistant To City Clerk","","","","34607","38951","","32746","0","0","0","32746","0","4819","0","10800","15619","2%@60","http://www.ci.adelanto.ca.us/index.asp?SEC=B16FACA1-FC2F-429D-91A4-8C291547BDDE&Type=B_BASIC","31289","12/16/2013"
"2012","City","","Adelanto","City Clerk","City Clerk","","","","57330","101850","","90080","0","10259","10800","111139","0","11770","0","0","11770","2%@60","http://www.ci.adelanto.ca.us/index.asp?SEC=B16FACA1-FC2F-429D-91A4-8C291547BDDE&Type=B_BASIC","31289","12/16/2013"
"2012","City","","Adelanto","City Clerk","Prov Admin Assistant  I","","","","23020","25909","","13709","0","0","0","13709","0","0","0","0","0","0","http://www.ci.adelanto.ca.us/index.asp?SEC=B16FACA1-FC2F-429D-91A4-8C291547BDDE&Type=B_BASIC","31289","12/16/2013"
"2012","City","","Adelanto","City Clerk","Prov Admin Assistant II","","","","26328","29632","","10795","116","0","0","10911","0","0","0","0","0","0","http://www.ci.adelanto.ca.us/index.asp?SEC=B16FACA1-FC2F-429D-91A4-8C291547BDDE&Type=B_BASIC","31289","12/16/2013"
"2012","City","","Adelanto","City Clerk","Prov Admin Assistant II","","","","26328","29632","","1611","0","0","0","1611","0","0","0","0","0","0","http://www.ci.adelanto.ca.us/index.asp?SEC=B16FACA1-FC2F-429D-91A4-8C291547BDDE&Type=B_BASIC","31289","12/16/2013"
"2012","City","","Adelanto","City Council","Council Member","","","","0","6132","","6132","0","0","10800","16932","0","0","0","0","0","0","http://www.ci.adelanto.ca.us/index.asp?SEC=B16FACA1-FC2F-429D-91A4-8C291547BDDE&Type=B_BASIC","31289","12/16/2013"
"2012","City","","Adelanto","City Council","Council Member","","","","0","6132","","6132","0","0","10129","16261","0","0","0","671","671","0","http://www.ci.adelanto.ca.us/index.asp?SEC=B16FACA1-FC2F-429D-91A4-8C291547BDDE&Type=B_BASIC","31289","12/16/2013"
"2012","City","","Adelanto","City Council","Council Member","","","","0","6132","","6132","0","0","8793","14925","0","0","0","2007","2007","0","http://www.ci.adelanto.ca.us/index.asp?SEC=B16FACA1-FC2F-429D-91A4-8C291547BDDE&Type=B_BASIC","31289","12/16/2013"
"2012","City","","Adelanto","City Council","Council Member","","","","0","6132","","6132","0","0","9396","15528","0","0","0","1404","1404","0","http://www.ci.adelanto.ca.us/index.asp?SEC=B16FACA1-FC2F-429D-91A4-8C291547BDDE&Type=B_BASIC","31289","12/16/2013"
"2012","City","","Adelanto","City Council","Council Member","","","","0","6132","","506","0","0","900","1406","0","0","0","0","0","0","http://www.ci.adelanto.ca.us/index.asp?SEC=B16FACA1-FC2F-429D-91A4-8C291547BDDE&Type=B_BASIC","31289","12/16/2013"
"2012","City","","Adelanto","City Council","Mayor","","","","0","7920","","7320","0","0","10243","17563","0","0","0","1937","1937","0","http://www.ci.adelanto.ca.us/index.asp?SEC=B16FACA1-FC2F-429D-91A4-8C291547BDDE&Type=B_BASIC","31289","12/16/2013"
